Area,Item,Element,Year,Unit,Value
Georgia,Strawberries,Import Quantity,1997,tonnes,
Italy,Bovine Meat,Export Quantity,2006,tonnes,173886.0
Netherlands,Macaroni,Import Value,2004,1000 US$,38620.0
Albania,Garlic,Export Value,2002,1000 US$,
Nepal,"Rubber, natural",Import Quantity,1973,tonnes,0.0
Finland,"Barley, pearled",Export Value,1995,1000 US$,
Mexico,"Cake, sunflower",Export Quantity,1974,tonnes,
Malta,Grapes,Import Quantity,1991,tonnes,1662.0
Algeria,"Fat, pigs",Import Quantity,1972,tonnes,0.0
Netherlands,"Honey, natural",Import Quantity,1968,tonnes,3025.0
France,"Oil, linseed",Export Value,1995,1000 US$,2195.0
Togo,Onions,Export Value,1964,1000 US$,0.0
Rwanda,Sugar beet,Export Value,1961,1000 US$,
Jordan,"Wool, greasy",Export Value,1981,1000 US$,93.0
Pakistan,Waxes vegetable,Import Quantity,1993,tonnes,57.0
Tunisia,Apricots,Export Quantity,2000,tonnes,201.0
Croatia,"Skins, sheep, with wool",Import Value,1999,1000 US$,0.0
Norway,Dairy Products+Eggs,Import Value,1991,1000 US$,18392.0
Morocco,Beeswax,Export Value,1987,1000 US$,609.0
Samoa,Cassava dried,Import Quantity,2005,tonnes,0.0
United Arab Emirates,"Meat, dried nes",Import Quantity,1992,tonnes,200.0
Lesotho,Tomatoes,Import Quantity,2005,tonnes,4600.0
Kyrgyzstan,Sunflower seed,Import Value,2013,1000 US$,426.0
Japan,Maple sugar and syrups,Export Value,1966,1000 US$,0.0
Jordan,Bovine Meat,Import Quantity,2006,tonnes,46252.0
Czechia,Dairy Products+Eggs,Export Value,2010,1000 US$,696109.0
Honduras,Cereals,Import Quantity,2007,tonnes,455362.0
Greece,Tobacco,Export Quantity,1976,tonnes,55762.0
Ecuador,Jute+Bast Fibres,Export Quantity,2006,tonnes,
Kiribati,"Coconuts, desiccated",Import Value,1986,1000 US$,
Cook Islands,"Meat, pig, preparations",Import Value,1970,1000 US$,0.0
Philippines,Cherries,Import Value,1984,1000 US$,0.0
Honduras,"Hair, fine",Export Quantity,1996,tonnes,0.0
Malaysia,Chocolate products nes,Import Value,1994,1000 US$,14811.0
Portugal,"Offals, edible, cattle",Import Value,1984,1000 US$,550.0
Botswana,Grapes,Export Value,2001,1000 US$,0.0
Lebanon,Sunflower seed,Import Value,1973,1000 US$,
Zimbabwe,Cheese and Curd,Export Quantity,1968,tonnes,0.0
Mauritius,Plums dried (prunes),Export Value,2010,1000 US$,0.0
Benin,Animal fats,Import Value,2012,1000 US$,0.0
Japan,Lettuce and chicory,Export Quantity,2013,tonnes,89.0
Cameroon,"Oil, cottonseed",Export Value,2007,1000 US$,0.0
Malaysia,Lemons and limes,Export Quantity,2011,tonnes,3405.0
Republic of Korea,Forage products,Export Quantity,2004,tonnes,0.0
Mozambique,Offals Edibl Fresh,Export Value,1983,1000 US$,
Ireland,Onions,Export Quantity,2001,tonnes,661.0
Colombia,Wheat,Export Quantity,1988,tonnes,0.0
Yemen,"Juice, grapefruit",Export Value,1988,1000 US$,0.0
Luxembourg,Sweet corn prep or preserved,Export Quantity,2010,tonnes,8.0
Antigua and Barbuda,Meat of Swine,Import Quantity,1965,tonnes,17.0
Timor-Leste,"Wheat+Flour,Wheat Equivalent",Import Quantity,1969,tonnes,2500.0
Bulgaria,"Cake, safflower",Export Value,1972,1000 US$,
Kuwait,Oranges+Tang+Clem,Import Value,2000,1000 US$,21825.0
Argentina,Onions,Import Quantity,1979,tonnes,71.0
Ukraine,"Oil, palm",Export Quantity,1995,tonnes,
Indonesia,"Coffee, roasted",Export Value,2012,1000 US$,5325.0
United Kingdom,Cranberries,Import Quantity,2006,tonnes,5487.0
United Kingdom,"Waters,ice etc",Export Value,1971,1000 US$,192.0
Nepal,"Margarine, short",Import Value,2005,1000 US$,73.0
Malaysia,Rice,Export Quantity,1977,tonnes,0.0
Panama,Other Meat,Export Quantity,2001,tonnes,60.0
Italy,"Mushrooms, canned",Export Quantity,1974,tonnes,106.0
Uganda,"Juice, grape",Import Value,2012,1000 US$,6.0
Dominican Republic,"Cereals, breakfast",Import Value,1973,1000 US$,556.0
Morocco,"Walnuts, shelled",Import Value,1961,1000 US$,0.0
Australia,"Eggs Liquid,Dried",Import Value,2009,1000 US$,3153.0
Qatar,"Oil, groundnut",Export Value,1967,1000 US$,
Jamaica,"Juice, orange, concentrated",Import Quantity,1969,tonnes,0.0
Libya,"Butter, cow milk",Import Value,1978,1000 US$,6792.0
Venezuela (Bolivarian Republic of),Olives preserved,Export Quantity,1963,tonnes,
Sudan (former),"Oil, soybean",Import Quantity,1989,tonnes,6900.0
Brunei Darussalam,"Flour, wheat",Import Quantity,1964,tonnes,1100.0
Thailand,Fodder & Feeding stuff,Import Value,1980,1000 US$,63527.0
Singapore,Tobacco,Import Quantity,1989,tonnes,25369.0
Netherlands,"Meat, pig, preparations",Export Value,1968,1000 US$,121986.0
Liberia,"Oil, castor beans",Import Quantity,2007,tonnes,2.0
Micronesia,Tomatoes,Import Value,1971,1000 US$,140.0
Ecuador,Wafers,Export Value,2003,1000 US$,
Saint Lucia,"Offals, edible, cattle",Import Quantity,1978,tonnes,
Turkey,Rice - total  (Rice milled equivalent),Import Value,1963,1000 US$,0.0
Thailand,"Tomatoes, peeled",Import Value,1978,1000 US$,0.0
Saint Kitts and Nevis,Grapefruit (inc. pomelos),Import Value,2008,1000 US$,25.0
Montenegro,Figs dried,Import Quantity,2006,tonnes,38.0
Seychelles,"Cereal preparations, nes",Import Quantity,1978,tonnes,
Malaysia,Maple sugar and syrups,Export Quantity,1967,tonnes,0.0
Micronesia,"Meat, duck",Import Quantity,2003,tonnes,
Tunisia,"Cocoa, powder & cake",Import Quantity,1999,tonnes,856.0
Mongolia,"Waters,ice etc",Export Value,2000,1000 US$,
Republic of Korea,"Juice, pineapple",Import Value,2008,1000 US$,105.0
Japan,Sugar Raw Centrifugal,Import Quantity,1962,tonnes,1397409.0
Nigeria,Soybeans,Export Quantity,1986,tonnes,0.0
Iceland,"Meat, turkey",Import Quantity,1983,tonnes,
United Republic of Tanzania,Sweet potatoes,Export Quantity,1984,tonnes,0.0
Bolivia (Plurinational State of),Lettuce and chicory,Import Quantity,1981,tonnes,
Swaziland,Other Meat,Export Value,2004,1000 US$,6.0
Republic of Korea,"Oil, sunflower",Export Quantity,2006,tonnes,0.0
Botswana,Strawberries,Import Value,1961,1000 US$,0.0
Gabon,"Flour, potatoes",Import Quantity,1962,tonnes,0.0
United Kingdom,Milk Fresh,Import Quantity,1995,tonnes,159312.0
Syrian Arab Republic,"Offals, liver chicken",Export Quantity,1995,tonnes,0.0
Nepal,Lactose,Import Quantity,1962,tonnes,
Myanmar,Wheat,Import Value,1962,1000 US$,748.0
Belgium,"Apricots, dry",Export Value,2005,1000 US$,717.0
Côte d'Ivoire,"Cereal preparations, nes",Export Value,1977,1000 US$,
Finland,Groundnuts Total Shelled,Import Quantity,1983,tonnes,1149.0
Saint Pierre and Miquelon,"Juice, fruit nes",Import Value,2002,1000 US$,18.0
Israel,Papayas,Export Quantity,1982,tonnes,0.0
Georgia,Animal fats,Export Quantity,1993,tonnes,
Indonesia,"Mushrooms, canned",Export Value,2001,1000 US$,25824.0
Bosnia and Herzegovina,Apples,Import Value,2001,1000 US$,4500.0
Argentina,"Groundnuts, shelled",Import Value,1999,1000 US$,62.0
Rwanda,"Skins, sheep, with wool",Export Quantity,2012,tonnes,16.0
Paraguay,"Milk, skimmed cow",Import Quantity,1975,tonnes,
Togo,"Cake, palm kernel",Import Quantity,2009,tonnes,0.0
Cuba,"Fat, nes, prepared",Import Quantity,2011,tonnes,1013.0
Djibouti,"Wool, greasy",Import Quantity,2013,tonnes,0.0
Belize,Bananas,Import Quantity,2009,tonnes,0.0
Canada,Triticale,Export Quantity,2011,tonnes,
Hungary,"Oil, essential nes",Import Value,1979,1000 US$,
France,"Leeks, other alliaceous vegetables",Import Quantity,1995,tonnes,19488.0
Honduras,"Buttermilk, curdled, acidified milk",Import Value,1981,1000 US$,0.0
Mali,"Tobacco, unmanufactured",Export Quantity,2011,tonnes,0.0
"China, Hong Kong SAR","Hides, nes",Import Quantity,1963,tonnes,103.0
Mauritius,"Cheese, whole cow milk",Export Value,1983,1000 US$,2.0
El Salvador,"Skins, sheep, with wool",Import Quantity,1967,tonnes,
Papua New Guinea,Cheese and Curd,Export Quantity,1986,tonnes,0.0
Venezuela (Bolivarian Republic of),"Nutmeg, mace and cardamoms",Import Value,2005,1000 US$,105.0
Syrian Arab Republic,"Hazelnuts, shelled",Import Value,1982,1000 US$,460.0
Uganda,Fatty acids,Export Quantity,2011,tonnes,0.0
Uzbekistan,"Juice, orange, concentrated",Import Value,1992,1000 US$,
Micronesia,Oats,Import Quantity,2009,tonnes,0.0
Maldives,Olives,Import Quantity,2008,tonnes,
Indonesia,Oilseeds,Import Quantity,1987,tonnes,400233.0
Bahamas,Sugar and Honey,Import Quantity,1988,tonnes,12066.0
Paraguay,Cotton lint,Export Value,2001,1000 US$,83468.0
Trinidad and Tobago,Pepper (piper spp.),Import Quantity,2001,tonnes,143.0
The former Yugoslav Republic of Macedonia,"Meat, pork",Import Quantity,2005,tonnes,4206.0
American Samoa,"Meat, beef, preparations",Import Value,1988,1000 US$,1003.0
Saint Lucia,Cucumbers and gherkins,Import Quantity,1985,tonnes,
Dominica,"Oil, soybean",Import Value,1981,1000 US$,0.0
Burundi,Meat Poultry Fresh,Export Value,1992,1000 US$,
Belize,Cotton lint,Export Value,1982,1000 US$,0.0
Norway,"Coffee, extracts",Import Quantity,1975,tonnes,884.0
Bahamas,Cheese and Curd,Export Quantity,1995,tonnes,0.0
Democratic Republic of the Congo,"Honey, natural",Import Value,1985,1000 US$,0.0
Brazil,"Pyrethrum, extraction",Import Quantity,1997,tonnes,2.0
United Republic of Tanzania,"Wool, greasy",Import Value,1985,1000 US$,
Yugoslav SFR,"Offals, liver geese",Export Value,1961,1000 US$,0.0
China,"Flour, wheat",Export Quantity,1991,tonnes,100905.0
Mali,Bananas,Export Value,1983,1000 US$,0.0
Ethiopia PDR,Wheat,Export Quantity,1971,tonnes,0.0
Nicaragua,Asparagus,Import Value,1968,1000 US$,
Costa Rica,"Anise, badian, fennel, coriander",Export Quantity,1962,tonnes,0.0
Polynesia,Almonds shelled,Import Quantity,1994,tonnes,7.0
French Polynesia,"Tangerines, mandarins, clementines, satsumas",Import Value,1982,1000 US$,235.0
Kenya,Tomatoes,Export Value,1961,1000 US$,6.0
Iceland,"Leeks, other alliaceous vegetables",Import Value,1970,1000 US$,0.0
Saudi Arabia,"Oil, palm kernel",Export Quantity,1965,tonnes,0.0
Saint Kitts and Nevis,"Bran, wheat",Import Value,2013,1000 US$,6.0
Bahrain,"Meat, rabbit",Import Quantity,1969,tonnes,
France,"Meat, game",Import Quantity,1987,tonnes,10302.0
Sweden,"Melons, other (inc.cantaloupes)",Export Value,1974,1000 US$,76.0
Serbia and Montenegro,Glucose and dextrose,Import Value,2003,1000 US$,1124.0
Sri Lanka,Cotton waste,Import Value,2013,1000 US$,209.0
Benin,Cotton linter,Export Value,1964,1000 US$,
Gabon,Cucumbers and gherkins,Import Quantity,2013,tonnes,0.0
Ukraine,"Whey, condensed",Import Quantity,1993,tonnes,
Norway,Crude Materials -Ex2,Export Value,1964,1000 US$,33092.0
Mauritania,"Meat, dried nes",Import Value,2009,1000 US$,0.0
Samoa,Meat Prepared Pres,Import Quantity,1977,tonnes,729.0
Myanmar,Vermouths & similar,Import Quantity,1968,tonnes,0.0
Bosnia and Herzegovina,Sweet corn prep or preserved,Export Quantity,1992,tonnes,
Faroe Islands,Milk Equivalent,Import Value,2008,1000 US$,8079.0
Uzbekistan,"Juice, pineapple",Export Quantity,2010,tonnes,10.0
Greece,"Cake, linseed",Import Quantity,1992,tonnes,0.0
Ecuador,Pulses,Export Value,1973,1000 US$,0.0
Hungary,"Tangerines, mandarins, clementines, satsumas",Export Quantity,2011,tonnes,3883.0
Tunisia,"Pyrethrum, dried",Import Quantity,1988,tonnes,58.0
Denmark,"Meat, duck",Export Quantity,1968,tonnes,0.0
Bahrain,Oilseed Cake Meal,Import Value,1981,1000 US$,9.0
Ecuador,"Butter, cow milk",Import Quantity,1964,tonnes,0.0
Iran (Islamic Republic of),"Onions, shallots, green",Export Value,1987,1000 US$,
Pakistan,Ginger,Import Value,1972,1000 US$,0.0
Sweden,Watermelons,Export Quantity,1981,tonnes,0.0
Maldives,"Meat, chicken, canned",Import Value,1963,1000 US$,0.0
Cameroon,"Grain, mixed",Import Value,1982,1000 US$,
Libya,"Beans, dry",Export Quantity,2001,tonnes,30.0
Nigeria,"Meat, sheep",Import Value,1981,1000 US$,120.0
Paraguay,Sugar Raw Centrifugal,Import Quantity,2003,tonnes,10.0
Qatar,Oats rolled,Import Value,1968,1000 US$,
Iceland,Pigmeat,Export Value,2006,1000 US$,5.0
Chile,Sugar confectionery,Import Value,2008,1000 US$,30372.0
Sweden,"Juice, grapefruit",Import Quantity,1997,tonnes,673.0
Senegal,"Cake, cottonseed",Export Value,1979,1000 US$,1080.0
Portugal,"Offals, edible, cattle",Import Value,1976,1000 US$,1528.0
Botswana,"Juice, pineapple",Export Quantity,1985,tonnes,
Tonga,Cheese and Curd,Import Quantity,2005,tonnes,69.0
Cyprus,"Coffee, roasted",Export Quantity,1981,tonnes,112.0
Saint Kitts and Nevis,"Juice, orange, single strength",Import Value,1985,1000 US$,57.0
Cameroon,Malt,Import Value,1965,1000 US$,737.0
United Kingdom,"Oil, linseed",Import Quantity,2003,tonnes,3745.0
China,Linseed,Export Quantity,2004,tonnes,6568.0
Burundi,Fixed Vegetable Oils,Export Value,1973,1000 US$,6.0
Dominican Republic,"Juice, fruit nes",Export Value,2005,1000 US$,654.0
United States of America,"Juice, pineapple",Import Quantity,1989,tonnes,36851.0
Saint Lucia,"Tomatoes, peeled",Export Quantity,2005,tonnes,0.0
Niger,"Cake, rapeseed",Import Value,1967,1000 US$,
Dominican Republic,"Oil, olive, virgin",Import Quantity,1980,tonnes,486.0
Fiji,Forage products,Import Value,2000,1000 US$,
Thailand,Currants,Import Value,1995,1000 US$,0.0
New Zealand,Olives,Export Value,2011,1000 US$,
Malaysia,Raisins,Export Quantity,2003,tonnes,1042.0
Bermuda,"Hides, cattle, wet salted",Import Value,1996,1000 US$,
El Salvador,"Eggs, dried",Import Value,1984,1000 US$,
Nicaragua,Maple sugar and syrups,Import Quantity,1979,tonnes,
Trinidad and Tobago,"Cocoa, powder & cake",Export Value,2010,1000 US$,4.0
Republic of Moldova,"Meat, pork",Export Quantity,2010,tonnes,0.0
Sao Tome and Principe,"Tangerines, mandarins, clementines, satsumas",Import Quantity,1967,tonnes,
Grenada,"Margarine, short",Import Quantity,1987,tonnes,439.0
Zimbabwe,Rapeseed,Import Value,2005,1000 US$,23.0
Germany,Buckwheat,Import Value,1973,1000 US$,248.0
"China, Hong Kong SAR",Figs dried,Export Value,1975,1000 US$,4.0
Côte d'Ivoire,"Juice, orange, concentrated",Import Quantity,1982,tonnes,
Australia,"Eggs, liquid",Import Value,2012,1000 US$,1667.0
Hungary,"Flour, mustard",Export Quantity,1996,tonnes,0.0
Barbados,Almonds shelled,Import Quantity,1987,tonnes,
Yemen,"Offals, edible, cattle",Export Value,1990,1000 US$,0.0
Caribbean,"Hides, cattle, fresh",Export Value,1964,1000 US$,
Bahrain,Dairy Products+Eggs,Import Value,1970,1000 US$,1415.0
Spain,Oilseeds,Export Value,2000,1000 US$,21990.0
"China, Hong Kong SAR",Soya sauce,Import Quantity,1991,tonnes,17802.0
Kiribati,"Cheese, whole cow milk",Import Value,1998,1000 US$,15.0
Poland,"Eggs Liquid,Dried",Export Quantity,2009,tonnes,14258.0
Nigeria,"Coffee, roasted",Export Value,1996,1000 US$,25.0
Honduras,"Fat, cattle",Import Value,2011,1000 US$,
El Salvador,"Offals, edible, cattle",Export Value,2013,1000 US$,1.0
Congo,"Juice, grape",Import Quantity,2001,tonnes,0.0
Togo,Fixed Vegetable Oils,Export Quantity,1970,tonnes,190.0
Bulgaria,Pistachios,Import Value,1999,1000 US$,15.0
Brazil,"Yoghurt, concentrated or not",Import Value,1966,1000 US$,
Paraguay,"Oil, maize",Import Quantity,1993,tonnes,344.0
Myanmar,Malt,Export Quantity,1963,tonnes,0.0
China,"Cake, palm kernel",Import Quantity,2008,tonnes,21627.0
Belize,Ovine Meat,Import Value,1967,1000 US$,1.0
Ghana,Cider etc,Export Quantity,1990,tonnes,
Maldives,Plantains and others,Import Quantity,1963,tonnes,
Cameroon,Garlic,Export Value,1968,1000 US$,
Hungary,"Margarine, short",Export Quantity,1995,tonnes,1182.0
Viet Nam,Oilseeds,Export Value,1984,1000 US$,38000.0
Czechia,"Milk, whole dried",Import Value,2013,1000 US$,2462.0
Tonga,"Mangoes, mangosteens, guavas",Import Quantity,1990,tonnes,
Latvia,Wafers,Export Quantity,2003,tonnes,
Cambodia,Cassava dried,Import Value,1989,1000 US$,
Pakistan,"Oil, boiled etc",Export Value,1968,1000 US$,
Melanesia,"Mushrooms, canned",Import Value,1973,1000 US$,0.0
Iceland,Canned Meat nes,Export Value,2005,1000 US$,407.0
Somalia,Offals Edibl Fresh,Import Quantity,2000,tonnes,
Burkina Faso,"Cake, palm kernel",Import Quantity,1998,tonnes,
United Kingdom,Jute,Import Value,1972,1000 US$,35699.0
Mauritius,"Coffee, extracts",Export Quantity,1973,tonnes,
Croatia,Pineapples,Import Value,2010,1000 US$,2085.0
Lebanon,Pulses,Export Value,1991,1000 US$,650.0
Colombia,"Meat, duck",Export Value,2005,1000 US$,
Bulgaria,Rape+Mustard Seed,Import Quantity,1975,tonnes,32.0
Melanesia,"Peas, green",Import Quantity,1990,tonnes,5.0
Russian Federation,Lard,Export Quantity,2007,tonnes,0.0
Maldives,"Cheese, processed",Import Quantity,1966,tonnes,
Denmark,Olives,Import Quantity,1965,tonnes,0.0
Kuwait,Chestnut,Export Quantity,1985,tonnes,0.0
Portugal,Cassava Equivalent,Export Quantity,2002,tonnes,3868.0
Cambodia,"Cereals, breakfast",Import Quantity,1998,tonnes,
Occupied Palestinian Territory,Dates,Import Value,1986,1000 US$,0.0
Czechia,Pet food,Import Value,2004,1000 US$,64059.0
Malaysia,"Coffee, extracts",Import Value,1994,1000 US$,5159.0
Melanesia,"Oil, palm",Import Value,2013,1000 US$,24455.0
Bulgaria,"Bran, maize",Export Quantity,1969,tonnes,
Bosnia and Herzegovina,Hops,Export Quantity,2004,tonnes,0.0
Saudi Arabia,"Fat, cattle",Export Value,2013,1000 US$,0.0
Vanuatu,"Hides, cattle, wet salted",Export Value,1992,1000 US$,
Denmark,"Dregs from brewing, distillation",Import Quantity,1965,tonnes,0.0
Japan,Artichokes,Import Quantity,1994,tonnes,13.0
Mexico,Sesame seed,Import Value,2007,1000 US$,12881.0
Belarus,Animal Oil+Fat+Grs,Export Value,1997,1000 US$,
Israel,"Oil, sesame",Import Quantity,1961,tonnes,0.0
Slovakia,Offals Edibl Fresh,Export Quantity,2010,tonnes,583.0
Pakistan,Pigmeat,Export Value,2010,1000 US$,67.0
Poland,"Mangoes, mangosteens, guavas",Import Value,1966,1000 US$,
Nepal,"Juice, citrus, concentrated",Import Value,1979,1000 US$,
Cyprus,"Cereal preparations, nes",Export Quantity,1972,tonnes,5.0
Uruguay,Lemons and limes,Import Value,1980,1000 US$,
Ecuador,"Flour, wheat",Export Quantity,1993,tonnes,300.0
United Republic of Tanzania,Figs dried,Export Quantity,1964,tonnes,
Saint Lucia,"Fat, nes, prepared",Export Quantity,2011,tonnes,0.0
Switzerland,"Oil, linseed",Export Quantity,2006,tonnes,29.0
United States of America,Bambara beans,Import Quantity,1988,tonnes,
Tunisia,"Feed and meal, gluten",Export Quantity,2005,tonnes,72.0
Somalia,"Peas, green",Import Quantity,2011,tonnes,
Nepal,Bread,Import Quantity,1992,tonnes,0.0
Turkey,"Pumpkins, squash and gourds",Import Value,1971,1000 US$,0.0
New Zealand,Copra,Export Value,1998,1000 US$,
Belgium,Forage products,Export Quantity,2002,tonnes,3922.0
Namibia,"Oils, fats of animal nes",Export Value,1990,1000 US$,
Senegal,"Cake, copra",Import Quantity,1965,tonnes,
Malawi,"Flour, maize",Export Value,2003,1000 US$,0.0
Mauritius,Poppy seed,Export Quantity,2000,tonnes,
Azerbaijan,"Silk-worm cocoons, reelable",Import Value,2001,1000 US$,
Spain,"Meat, pig, preparations",Export Value,1987,1000 US$,2714.0
Falkland Islands (Malvinas),"Wool, greasy",Export Value,1962,1000 US$,2560.0
Costa Rica,Papayas,Import Quantity,2004,tonnes,2.0
Lebanon,Oats rolled,Import Value,2010,1000 US$,231.0
Canada,"Meat, beef, preparations",Import Value,1966,1000 US$,4063.0
Republic of Moldova,"Cereal preparations, nes",Export Value,2002,1000 US$,47.0
Philippines,Oats,Import Value,1994,1000 US$,907.0
Bahrain,"Cheese, whole cow milk",Export Quantity,1984,tonnes,6.0
Kiribati,"Meat, cattle",Import Value,1967,1000 US$,78.0
Samoa,Cottonseed,Import Quantity,1971,tonnes,
Benin,Cabbages and other brassicas,Import Value,1971,1000 US$,
France,Sugar confectionery,Export Value,1986,1000 US$,82342.0
Cabo Verde,Rice,Export Value,1984,1000 US$,0.0
Singapore,Coconuts,Import Value,1963,1000 US$,40.0
Switzerland,"Meat, dried nes",Export Value,2013,1000 US$,98.0
Fiji,"Flour, pulses",Import Value,1989,1000 US$,29.0
Dominican Republic,Plums dried (prunes),Import Quantity,1974,tonnes,60.0
Brazil,"Dregs from brewing, distillation",Import Quantity,1990,tonnes,
Seychelles,Apples,Import Quantity,2010,tonnes,579.0
Estonia,Glucose and dextrose,Export Value,2006,1000 US$,65.0
French Polynesia,"Oil, essential nes",Import Value,1983,1000 US$,20.0
Bermuda,Soya sauce,Import Quantity,2006,tonnes,
Turkey,Figs,Export Quantity,1993,tonnes,4927.0
Jamaica,"Leeks, other alliaceous vegetables",Export Value,2005,1000 US$,0.0
Denmark,Gooseberries,Export Quantity,1988,tonnes,
Chile,"Juice, pineapple",Import Quantity,1971,tonnes,0.0
Fiji,Grease incl. lanolin wool,Import Quantity,1981,tonnes,0.0
Gambia,Flax fibre raw,Import Quantity,1983,tonnes,
Kazakhstan,Spinach,Import Quantity,1997,tonnes,
Zimbabwe,"Skins, sheep, with wool",Export Value,2007,1000 US$,0.0
Japan,"Offals, liver geese",Import Quantity,1998,tonnes,297.0
Republic of Moldova,Milk Equivalent,Export Value,2013,1000 US$,7315.0
Malta,"Eggs, other bird, in shell",Export Value,1973,1000 US$,
United Kingdom,"Mushrooms, canned",Export Quantity,1989,tonnes,89.0
Niger,Natural Rubber,Export Quantity,1968,tonnes,
Bangladesh,Tea,Export Value,2000,1000 US$,15761.0
Morocco,"Feed and meal, gluten",Import Quantity,1965,tonnes,0.0
Kuwait,"Hazelnuts, shelled",Export Value,1992,1000 US$,
Slovakia,Cider etc,Export Quantity,2007,tonnes,986.0
Sao Tome and Principe,Total Meat,Import Quantity,1976,tonnes,41.0
Norway,Sesame seed,Export Value,1972,1000 US$,0.0
Kyrgyzstan,"Feed and meal, gluten",Import Quantity,2011,tonnes,0.0
Venezuela (Bolivarian Republic of),"Cake, palm kernel",Import Quantity,1969,tonnes,0.0
Mexico,"Eggs, liquid",Export Quantity,1966,tonnes,
Spain,"Fat, cattle",Import Quantity,1980,tonnes,
Oman,"Juice, fruit nes",Export Quantity,1986,tonnes,250.0
Guatemala,"Cocoa, butter",Import Quantity,1985,tonnes,1.0
Sudan (former),"Oil, palm kernel",Import Value,1980,1000 US$,240.0
Bangladesh,"Skins, sheep, with wool",Export Value,1998,1000 US$,
Qatar,"Oil, castor beans",Import Value,1979,1000 US$,0.0
"China, Hong Kong SAR","Oil, palm",Export Value,1965,1000 US$,0.0
Ethiopia,Ice cream and edible ice,Import Value,2001,1000 US$,8.0
Serbia and Montenegro,Pulses,Import Quantity,2005,tonnes,5648.0
Azerbaijan,"Peas, dry",Import Value,1994,1000 US$,
China,Bread,Import Quantity,1964,tonnes,13.0
Romania,"Oil, olive residues",Import Value,2005,1000 US$,2345.0
Brazil,Straw husks,Import Value,1996,1000 US$,3.0
Armenia,"Oil, olive, virgin",Import Quantity,2008,tonnes,77.0
Croatia,"Juice, citrus, single strength",Export Quantity,2011,tonnes,0.0
Poland,Crude Materials nes,Import Value,1964,1000 US$,4500.0
Tunisia,Milk Dry,Import Quantity,2000,tonnes,5383.0
Micronesia,Pastry,Export Value,1980,1000 US$,106.0
Zimbabwe,Oranges,Export Value,2003,1000 US$,16859.0
Myanmar,"Skins, goat, wet salted",Export Value,2000,1000 US$,0.0
Nigeria,"Tobacco, unmanufactured",Export Value,1994,1000 US$,450.0
Spain,"Chillies and peppers, dry",Import Quantity,1985,tonnes,586.0
Italy,Cheese and Curd,Export Quantity,1990,tonnes,72674.0
Haiti,Papayas,Export Quantity,1996,tonnes,6.0
Malaysia,"Oil, boiled etc",Import Value,1996,1000 US$,4371.0
Honduras,"Hides, cattle, wet salted",Export Quantity,1973,tonnes,660.0
United Republic of Tanzania,Cauliflowers and broccoli,Import Quantity,1988,tonnes,
Germany,"Flour, potatoes",Export Value,1992,1000 US$,15784.0
Qatar,"Bran, wheat",Import Value,1962,1000 US$,95.0
Angola,Groundnuts Total Shelled,Export Quantity,1969,tonnes,637.0
Turkey,Coffee Green+Roast,Export Value,1976,1000 US$,0.0
Switzerland,Barley,Import Value,1963,1000 US$,16680.0
Slovakia,Cotton lint,Export Quantity,1996,tonnes,3675.0
Suriname,Oats rolled,Import Quantity,1969,tonnes,
Philippines,Plums and sloes,Import Value,1975,1000 US$,0.0
Antigua and Barbuda,Animal Vegetable Oil,Export Value,1973,1000 US$,
"China, Hong Kong SAR","Juice, grape",Import Value,1972,1000 US$,0.0
Paraguay,Fodder & Feeding stuff,Import Quantity,2001,tonnes,13139.0
Georgia,"Barley, pearled",Import Value,2008,1000 US$,0.0
Saudi Arabia,"Oil, vegetable origin nes",Import Value,1989,1000 US$,17145.0
Madagascar,Cassava Equivalent,Export Quantity,1963,tonnes,64455.0
Tonga,"Feed, vegetable products nes",Import Value,1978,1000 US$,
Senegal,"Cocoa, butter",Export Value,1973,1000 US$,38.0
Turkey,Cream fresh,Export Quantity,1970,tonnes,0.0
Thailand,"Oil, essential nes",Export Value,2005,1000 US$,6044.0
Spain,Wine+Vermouth+Sim.,Export Value,2004,1000 US$,1886094.0
Saint Vincent and the Grenadines,"Waters,ice etc",Export Value,1982,1000 US$,
Portugal,"Meat, pig sausages",Import Value,1982,1000 US$,83.0
Uruguay,Pears,Export Value,1965,1000 US$,0.0
Madagascar,Potatoes,Import Value,1969,1000 US$,5.0
Kuwait,Tomatoes,Export Quantity,1971,tonnes,544.0
Brunei Darussalam,"Meat, nes",Export Quantity,1963,tonnes,0.0
Togo,"Fat, liver prepared (foie gras)",Import Quantity,2003,tonnes,0.0
Algeria,"Flour, maize",Export Value,1985,1000 US$,
Iran (Islamic Republic of),Silk,Export Value,1968,1000 US$,321.0
Trinidad and Tobago,Cotton linter,Export Quantity,1980,tonnes,
Kenya,"Fat, nes, prepared",Export Quantity,2000,tonnes,1100.0
Lithuania,Peanut butter,Export Value,1995,1000 US$,
United States of America,Bulgur,Export Value,1975,1000 US$,57669.0
Albania,"Tangerines, mandarins, clementines, satsumas",Export Quantity,1989,tonnes,
Saint Vincent and the Grenadines,"Meat, pig sausages",Import Value,2009,1000 US$,583.0
Niger,"Flour, wheat",Export Quantity,2000,tonnes,15.0
Belize,"Tomatoes, peeled",Import Value,1969,1000 US$,0.0
Colombia,Flax Fib+Tow+W,Import Value,2010,1000 US$,40.0
Mali,"Feed, vegetable products nes",Import Quantity,1963,tonnes,
